空气阻力系数k = f / v^2 = 0.800000, 初速(m/s)(向上为正) = -100.000000, 物体质量(kg) = 1.000000, 计算时间精度(ms) = 1.000000, 总计算时间(ms) = 10000.000000
时间(ms),速度(m/s),加速度(m/s^2),位移(m),总位移(m),冲量(Ns),做功(j)
2035.000000,-3.500070,-0.000392,-0.003500,-10.404697,-96.499930,0.000001
2040.000000,-3.500068,-0.000381,-0.003500,-10.422197,-96.499932,0.000001
2045.000000,-3.500066,-0.000370,-0.003500,-10.439698,-96.499934,0.000001
2050.000000,-3.500064,-0.000360,-0.003500,-10.457198,-96.499936,0.000001
2055.000000,-3.500062,-0.000350,-0.003500,-10.474698,-96.499938,0.000001
2060.000000,-3.500060,-0.000340,-0.003500,-10.492199,-96.499940,0.000001
2065.000000,-3.500059,-0.000331,-0.003500,-10.509699,-96.499941,0.000001
2070.000000,-3.500057,-0.000322,-0.003500,-10.527199,-96.499943,0.000001
2075.000000,-3.500056,-0.000313,-0.003500,-10.544700,-96.499944,0.000001
2080.000000,-3.500054,-0.000304,-0.003500,-10.562200,-96.499946,0.000001
2085.000000,-3.500053,-0.000296,-0.003500,-10.579700,-96.499947,0.000001
2090.000000,-3.500051,-0.000288,-0.003500,-10.597200,-96.499949,0.000001
2095.000000,-3.500050,-0.000280,-0.003500,-10.614701,-96.499950,0.000001
2100.000000,-3.500048,-0.000272,-0.003500,-10.632201,-96.499952,0.000001
2105.000000,-3.500047,-0.000264,-0.003500,-10.649701,-96.499953,0.000001
2110.000000,-3.500046,-0.000257,-0.003500,-10.667201,-96.499954,0.000001
2115.000000,-3.500044,-0.000250,-0.003500,-10.684702,-96.499956,0.000001
2120.000000,-3.500043,-0.000243,-0.003500,-10.702202,-96.499957,0.000001
2125.000000,-3.500042,-0.000236,-0.003500,-10.719702,-96.499958,0.000001
2130.000000,-3.500041,-0.000230,-0.003500,-10.737202,-96.499959,0.000001
2135.000000,-3.500040,-0.000223,-0.003500,-10.754702,-96.499960,0.000001
2140.000000,-3.500039,-0.000217,-0.003500,-10.772203,-96.499961,0.000001
2145.000000,-3.500038,-0.000211,-0.003500,-10.789703,-96.499962,0.000001
2150.000000,-3.500036,-0.000205,-0.003500,-10.807203,-96.499964,0.000001
2155.000000,-3.500035,-0.000200,-0.003500,-10.824703,-96.499965,0.000001
2160.000000,-3.500034,-0.000194,-0.003500,-10.842203,-96.499966,0.000001
2165.000000,-3.500034,-0.000189,-0.003500,-10.859703,-96.499966,0.000001
2170.000000,-3.500033,-0.000184,-0.003500,-10.877204,-96.499967,0.000001
2175.000000,-3.500032,-0.000178,-0.003500,-10.894704,-96.499968,0.000001
2180.000000,-3.500031,-0.000174,-0.003500,-10.912204,-96.499969,0.000001
2185.000000,-3.500030,-0.000169,-0.003500,-10.929704,-96.499970,0.000001
2190.000000,-3.500029,-0.000164,-0.003500,-10.947204,-96.499971,0.000001
2195.000000,-3.500028,-0.000160,-0.003500,-10.964704,-96.499972,0.000001
2200.000000,-3.500028,-0.000155,-0.003500,-10.982205,-96.499972,0.000001
2205.000000,-3.500027,-0.000151,-0.003500,-10.999705,-96.499973,0.000001
